holm,.,.,.,embodies,the,character,with,an,effortlessly,regal,charisma,.,1,1,correct,,,,,,,,,,,,,,,,,
0,0,0,0,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
a,solid,",",psychological,action,film,from,hong,kong,.,1,1,correct,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
the,humor,and,humanity,of,monsoon,wedding,are,in,perfect,balance,.,1,1,correct,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
downbeat,",",period-perfect,biopic,hammers,home,a,heavy-handed,moralistic,message,.,0,0,correct,,,,,,,,,,,,,,,,,,,
1,0,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
renner,carries,much,of,the,film,with,a,creepy,and,dead-on,performance,.,0,1,wrong,,,,,,,,,,,,,,,,,
0,1,1,1,1,0,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
as,improbable,as,this,premise,may,seem,",",abbass,'s,understated,",",shining,performance,offers,us,the,sense,that,on,some,elemental,level,",",lilia,deeply,wants,to,break,free,1,1,correct
1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,,,
offers,very,little,genuine,romance,and,even,fewer,laughs,.,.,.,a,sad,sitcom,of,a,movie,",",largely,devoid,of,charm,.,0,0,correct,,,,,,
1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,,,,,,,,,
analyze,that,regurgitates,and,waters,down,many,of,the,previous,film,'s,successes,",",with,a,few,new,swings,thrown,in,.,0,0,correct,,,,,,,,
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,
often,messy,and,frustrating,",",but,very,pleasing,at,its,best,moments,",",it,'s,very,much,like,life,itself,.,1,1,correct,,,,,,,,,
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,
an,excruciating,demonstration,of,the,unsalvageability,of,a,movie,saddled,with,an,amateurish,screenplay,.,1,0,wrong,,,,,,,,,,,,,,,
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
the,transporter,bombards,the,viewer,with,so,many,explosions,and,side,snap,kicks,that,it,ends,up,being,surprisingly,dull,.,0,0,correct,,,,,,,,,
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,,
in,addition,to,gluing,you,to,the,edge,of,your,seat,",",changing,lanes,is,also,a,film,of,freshness,",",imagination,and,insight,.,1,1,correct,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,
.,.,.,the,film,suffers,from,a,lack,of,humor,(,something,needed,to,balance,out,the,violence,),.,.,.,0,0,correct,,,,,,,
0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
