, 570127
wenn, 21512
13, 9034
ihr, 7726
Jahr, 7063
2008, 6064
Folge, 5009
50, 4790
Zur, 4535
erkennt, 4329
Dabei, 4219
Tätigkeit, 4044
fédéralTribunale, 4014
kein, 3961
Zeit, 3446
Recht, 3431
Ref-Nr, 3257
Ausführungen, 3123
beizulegen, 2922
49, 2788
Ehefrau, 2778
erhalten, 2766
aufzuheben, 2568
teilweise, 2536
gewesen, 2521
Überschreitung, 2479
IV-Revision, 2476
aufgehoben, 2474
Spitäler, 2448
geleisteten, 2408
Versicherten, 2305
Personen, 2297
wie, 2295
Altersrente, 2217
mehr, 2148
31des, 2091
führte, 2076
beanstanden, 2057
IVG, 2055
Untersuchungen, 2039
abzuweisen, 1734
zurückzuweisen, 1725
Bundesgesetz, 1724
abgewiesen, 1696
Basel, 1684
Gastgeber, 1657
Wiederausreise, 1652
41, 1604
Praxis, 1604
Parteien, 1598
Frist, 1574
abgewiesen.2.Die, 1568
reichte, 1539
fünf, 1504
400.-, 1501
gutgeheissen, 1500
23, 1485
Einreisebewilligung, 1450
Institut, 1448
Rückweisung, 1443
Schneider, 1429
Vorbehalt, 1416
BGE135, 1411
gutzuheissen, 1410
geleistete, 1409
Hinweise, 1407
Invalidenrente, 1381
gelten, 1359
AuG, 1346
Edmond-Vaucher, 1337
notwendige, 1325
geeignet, 1315
unterliegende, 1288
I._______, 1270
Schweizerische, 1227
eingetreten, 1226
Danach, 1224
Erwägung:1.1.1, 1196
ABl, 1173
zurückgewiesen, 1161
Unterstützung, 1152
innerhalb, 1122
BGE137, 1109
Parteientschädigung, 1099
Gestützt, 1096
doc, 1089
Trennung, 1087
e, 1072
Arztes, 1068
hingegen, 1052
gegeben, 1021
Aufgabe, 1020
Ausübung, 1012
EU, 1007
IVGSR831.20, 991
wiederum, 983
insofern, 979
kostenpflichtig, 979
rechtliche, 966
demzufolge, 961
EVG, 957
Unfall, 952
Einreisesperre, 945
Ein, 935
Dreiviertelsrente, 928
SVR, 919
Veränderung, 917
nahm, 914
Vordergrund, 900
anwaltlich, 900
3des, 895
M._______, 893
fristgerechte	Wiederausreise, 893
Mitgliedstaaten, 888
Staatsangehörige, 885
Seit, 876
Sachlage, 872
Rechtspflege, 868
entstanden, 868
dort, 867
vermag, 867
SUVA, 864
relevanten, 863
fristgerechte, 849
fristgerechten, 845
gibt, 839
beantragen, 836
richtig, 835
verhältnismässig, 830
iur, 815
wollen, 815
Verbesserung, 814
Rekurskommission, 811
sprach, 809
hinsichtlich, 806
Überschreiten, 802
Anbetracht, 799
Invalidität, 797
Wirksamkeit, 788
ausnahmsweise, 787
verrechnet.3.Dieses, 782
55, 776
wann, 771
eingetretenen, 764
körperlich, 764
schwerwiegenden, 764
Wirtschaftlichkeit, 763
SGK, 757
zieht, 755
215E, 754
gestatten, 749
gelangte, 743
Forschung, 742
Schengen-Raum, 740
Gerichtskasse, 739
Erwerbsfähigkeit, 736
Denn, 732
Michael, 724
bedarf, 721
dadurch, 721
ausgeschlossen, 720
1VwVGe, 714
Mahnung, 708
nie, 702
bundesgerichtlichen, 701
Gehör, 698
jenem, 693
Aktenlage, 684
32VGGgenannten, 682
PUE, 682
Kindern, 676
B, 670
Leistungsanspruch, 670
mittelschwere, 666
verletzt, 666
ergänzenden, 658
Asylgesuch, 657
abweichenden, 657
genügen, 657
Thomas, 656
vier, 654
Aufl., 652
durfte, 649
Bedingungen, 646
belegt, 646
abgewiesen.2.Es, 640
Rechnung, 639
Weiteres, 638
falls, 636
unbegründet, 632
angeblich, 627
aktenkundigen, 626
1.1, 625
wichtige, 625
Hoheitsgebiet, 621
Herkunft, 615
Bundesbehörde, 614
Bestehen, 613
Eingang, 613
verschiedene, 611
Jugoslawien, 610
Ueli, 609
BSV, 607
Gastes, 605
attestierte, 603
ohnehin, 601
ursprünglichen, 599
Reise, 589
zurückzuerstatten, 587
nachträglich, 584
Obsiegen, 583
zeigt, 582
Dementsprechend, 572
daraufhin, 570
59ATSG, 567
2'000.-, 566
Produkte, 565
Existenz, 559
AHV-Beiträge, 557
Gesichtspunkt, 556
lange, 552
heute, 550
1987, 549
Preisüberwachung, 549
Benchmarking, 547
Pass, 546
spricht, 546
glaubhaft, 545
unvollständig, 545
aVEA, 544
Abwägung, 543
angemessene, 542
Anordnung, 538
Einbürgerungsverfahrens, 536
Schweizer, 532
Auszahlung, 528
Gegenstand, 528
Verpflichtung, 528
A.Der, 527
insgesamt, 527
Grundsätzen, 526
Anhangs, 522
entscheidet, 522
bestünden, 521
Föderativen, 519
diesem, 516
solange, 516
Beschaffung, 514
Leistungsanspruchs, 513
bAuG, 511
Verhältnismässigkeit, 509
1b, 508
Zwischenverfügung, 506
meldete, 506
erhöht, 504
Schengen-Recht, 503
SR142.20, 497
erfahrungsgemäss, 496
Titel, 492
Beitragsverfügung, 491
vorsieht, 484
Im, 483
Obwohl, 483
Waisenrente, 482
Rechtsvertreter, 480
352E, 478
VPB, 475
Arztberichtes, 472
Rechtsvertreters, 469
abschliessend, 465
Zulassung, 462
Einklang, 460
erteilt, 460
gesetzten, 460
ergebe, 458
unangefochten, 458
datiert, 456
nächsten, 455
ausländerrechtlichen, 451
Grenzgänger, 449
dreimonatigen, 449
